"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN","DOSIS_DIARIAS_ENTREGADAS","DOSIS_DIARIAS_ENTREGADAS_PFIZER","DOSIS_DIARIAS_ENTREGADAS_MODERNA","DOSIS_DIARIAS_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_DIARIAS","PORC_PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_100HAB_DIARIAS","DOSIS_7D_ENTREGADAS","DOSIS_7D_ENTREGADAS_PFIZER","DOSIS_7D_ENTREGADAS_MODERNA","DOSIS_7D_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_7D","DOSIS_ADMIN_7D","PORC_PAUTA_COMPLETA_7D","DOSIS_ADMIN_100HAB_7D","DESV_DOSIS_ADMIN_7D","DESV_PORC_PAUTA_COMPLETA_7D"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,999270,361600,111200,1472070,17.301,1330236,90.4,489306,18.822,-3.009,5.781,6.929,7.112,9.465,10.957,11.197,15.716,5.516,0,0,0,0,0,0,0,0.085,117250,99450,0,17800,82547,166787,0.174,0.351,-84.4896155545736,-86.6666666666667
"2","ARAGON","AR",1329391,1132764,1107658,2.802,2.823,2.827,187515,56800,21700,266015,3.126,229883,86.4,84463,3.253,11.58,6.354,7.456,7.625,20.311,19.41,19.229,17.292,16.102,0,0,0,0,0,0,0,0.006,25030,22230,0,2800,17539,34945,0.037,0.074,-96.730004418913,-97.1647509578544
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,182255,43600,20700,246555,2.898,202304,82.1,79184,2.863,34.968,7.772,8.786,8.941,47.179,40.71,39.797,19.857,33.324,0,0,0,0,0,0,0,0.027,23160,21060,0,2100,11081,25170,0.023,0.053,-97.6579761378701,-98.2375478927203
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,99810,49900,11100,160810,1.89,135857,84.5,39248,1.922,-23.451,3.35,3.979,4.076,-36.562,-36.272,-36.274,11.596,-22.141,0,0,0,0,0,0,0,0.006,15270,12870,0,2400,6403,18822,0.013,0.04,-98.232434821034,-99.0038314176245
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,209400,93000,22900,325300,3.823,260467,80.1,94471,3.685,-16.632,4.342,5.049,5.172,-17.787,-19.141,-19.136,11.97,-19.631,0,0,0,0,0,0,0,0.012,28000,23400,0,4600,21410,32085,0.045,0.068,-96.9951391957578,-96.551724137931
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,88485,24800,9700,122985,1.445,101069,82.2,42194,1.43,17.707,7.239,8.416,8.601,37.07,34.77,34.477,17.339,16.414,0,0,0,0,0,0,0,0.001,10560,9360,0,1200,10816,15963,0.023,0.034,-98.4975695978789,-98.2375478927203
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,413895,102400,47700,563995,6.629,476751,84.5,180124,6.746,31.338,7.521,8.607,8.777,42.42,37.83,37.238,19.907,33.655,0,0,0,0,0,0,0,0.035,54240,49140,0,5100,50364,87444,0.106,0.184,-91.8692001767565,-91.8773946360153
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,270135,87400,31000,388535,4.566,304832,78.5,110987,4.313,5.95,5.427,6.453,6.616,2.759,3.339,3.443,14.905,0.07,0,0,0,0,0,0,0,0.009,34720,30420,0,4300,24394,50345,0.051,0.106,-95.3159522757402,-96.0919540229885
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,923750,332500,105400,1361650,16.004,1095847,80.5,397561,15.506,-2.4,5.11,6.087,6.239,-3.242,-2.525,-2.442,14.085,-5.435,0,0,0,0,0,0,0,0.024,120530,104130,0,16400,136703,180634,0.288,0.381,-83.1639416703491,-77.9310344827586
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,518500,216100,57800,792400,9.313,636120,80.3,238199,9.001,-12.619,4.71,5.579,5.717,-10.812,-10.65,-10.605,12.578,-15.55,0,0,0,0,0,0,0,0.018,78560,67860,0,10700,61402,105707,0.129,0.223,-90.1458241272647,-90.1149425287356
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,160955,45400,17800,224155,2.635,188839,84.2,72729,2.672,17.507,6.836,7.982,8.169,29.438,27.821,27.735,17.748,19.163,0,0,0,0,0,0,0,0.004,19750,17550,0,2200,15260,32097,0.032,0.068,-96.9951391957578,-97.5478927203065
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,369835,115500,41400,526735,6.191,431274,81.9,140426,6.102,8.724,5.197,5.944,6.056,-1.581,-4.816,-5.303,15.962,7.172,0,0,0,0,0,0,0,0.025,61860,56160,0,5700,32176,61198,0.068,0.129,-94.2996022978347,-94.7892720306513
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,45695,13600,4800,64095,0.753,55033,85.9,18969,0.779,11.767,5.929,7.005,7.172,12.28,12.183,12.133,17.202,15.498,0,0,0,0,0,0,0,0.001,5380,4680,0,700,3865,6568,0.008,0.014,-99.3813521873619,-99.3869731800766
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,753405,289800,85200,1128405,13.262,943113,83.6,306011,13.345,-7.18,4.514,5.373,5.504,-14.532,-13.958,-13.94,13.91,-6.604,0,0,0,0,0,0,0,0.011,99710,85410,0,14300,95759,128510,0.202,0.271,-88.0247459125055,-84.5210727969349
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,179735,64500,19800,264035,3.103,214308,81.2,76965,3.032,-2.568,5.093,6.219,6.399,-3.562,-0.398,0.053,14.181,-4.789,0,0,0,0,0,0,0,0.01,20750,17550,0,3200,18367,29303,0.039,0.062,-97.2602739726027,-97.0114942528736
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,86145,28200,9700,124045,1.458,107705,86.8,35177,1.524,4.659,5.32,6.362,6.526,0.744,1.882,2.039,16.289,9.368,0,0,0,0,0,0,0,0.006,10760,9360,0,1400,5858,16786,0.012,0.035,-98.4533804684048,-99.0804597701149
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,275940,94900,30800,401640,4.72,316978,78.9,89366,4.485,0.865,4.025,4.708,4.814,-23.79,-24.602,-24.726,14.275,-4.156,0,0,0,0,0,0,0,0.012,42140,37440,0,4700,19543,62228,0.041,0.131,-94.2112240388864,-96.8582375478927
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,6660,3700,900,11260,0.132,10529,93.5,3314,0.149,-25.232,3.936,5.009,5.18,-25.472,-19.78,-19.015,12.504,-16.044,0,0,0,0,0,0,0,0.001,1370,1170,0,200,773,1105,0.002,0.002,-99.9116217410517,-99.8467432950192
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,6660,3700,800,11160,0.131,9784,87.7,2410,0.138,-28.715,2.768,3.642,3.774,-47.591,-41.68,-40.987,11.236,-24.56,0,0,0,0,0,0,0,0.001,2540,2340,0,200,31,1869,0,0.004,-99.8232434821034,-100
"20","FUERZAS ARMADAS","FFAA",NA,NA,NA,NA,NA,NA,19500,33100,0,52600,0.618,16442,31.3,4738,0.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,52600,19500,0,33100,4738,16442,0.01,0.035,-98.4533804684048,-99.2337164750958
"21","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,5797545,2060500,650400,8508445,100,7067371,83.063,2505842,100,0,5.281,6.244,6.396,0,0,0,14.894,0,0,0,0,0,0,0,0,0.294,824180,691080,0,133100,619029,1074008,1.305,2.263,0,0
