"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN","DOSIS_DIARIAS_ENTREGADAS","DOSIS_DIARIAS_ENTREGADAS_PFIZER","DOSIS_DIARIAS_ENTREGADAS_MODERNA","DOSIS_DIARIAS_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_DIARIAS","PORC_PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_100HAB_DIARIAS","DOSIS_7D_ENTREGADAS","DOSIS_7D_ENTREGADAS_PFIZER","DOSIS_7D_ENTREGADAS_MODERNA","DOSIS_7D_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_7D","DOSIS_ADMIN_7D","PORC_PAUTA_COMPLETA_7D","DOSIS_ADMIN_100HAB_7D","DESV_DOSIS_ADMIN_7D","DESV_PORC_PAUTA_COMPLETA_7D"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,662310,144200,36300,842810,18.692,769899,91.3,228739,20.105,4.79,2.702,3.239,3.325,1.62,3.005,3.228,9.096,12.705,0,0,0,0,3671,45514,0.008,0.085,163300,93600,0,69700,13669,162347,0.029,0.342,-78.0487804878049,-78.8321167883212
"2","ARAGON","AR",1329391,1132764,1107658,2.802,2.823,2.827,112635,22600,6300,141535,3.139,130122,91.9,46822,3.398,12.029,3.522,4.133,4.227,32.444,31.453,31.253,9.788,21.284,0,0,0,0,891,3794,0.002,0.006,27280,16380,0,10900,3962,20804,0.008,0.044,-97.1758664955071,-94.1605839416058
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,112055,17400,6300,135755,3.011,117129,86.3,39215,3.059,40.236,3.849,4.351,4.428,44.746,38.384,37.486,11.497,42.458,0,0,0,0,499,7937,0.001,0.027,22440,14040,0,8400,1570,20804,0.003,0.044,-97.1758664955071,-97.8102189781022
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,56520,19900,3200,79620,1.766,61342,77,21950,1.602,-28.479,1.874,2.226,2.279,-29.545,-29.223,-29.224,5.236,-35.121,0,0,0,0,826,4050,0.002,0.006,16620,7020,0,9600,1401,8621,0.003,0.018,-98.8446726572529,-97.8102189781022
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,129840,37100,7000,173940,3.858,146120,84,51446,3.816,-15.88,2.364,2.75,2.816,-11.092,-12.556,-12.551,6.715,-16.792,0,0,0,0,215,7563,0,0.012,36620,18720,0,17900,1694,26694,0.004,0.056,-96.405648267009,-97.0802919708029
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,55725,9900,2900,68525,1.52,59144,86.3,20433,1.544,23.761,3.505,4.075,4.165,31.817,29.605,29.323,10.146,25.724,0,0,0,0,87,2755,0,0.001,12990,8190,0,4800,623,11121,0.001,0.023,-98.5237483953787,-99.2700729927007
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,246585,40800,13500,300885,6.673,257479,85.6,89946,6.724,32.221,3.756,4.298,4.383,41.23,36.678,36.091,10.751,33.216,0,0,0,0,1154,11808,0.002,0.035,54800,35100,0,19700,4338,39227,0.009,0.083,-94.6726572528883,-93.4306569343066
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,167175,34800,9200,211175,4.684,162939,77.2,68732,4.255,8.668,3.361,3.996,4.097,26.373,27.087,27.214,7.967,-1.283,0,0,0,0,1787,2704,0.004,0.009,40200,23400,0,16800,7120,19595,0.015,0.041,-97.3684210526316,-89.051094890511
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,570410,132700,31400,734510,16.29,650327,88.5,188109,16.982,-0.65,2.418,2.88,2.952,-9.084,-8.41,-8.333,8.358,3.569,0,0,0,0,1841,36279,0.004,0.024,144830,80730,0,64100,8013,159916,0.017,0.337,-78.3697047496791,-87.5912408759124
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,288010,86200,15700,389910,8.648,323505,83,102016,8.448,-18.862,2.017,2.39,2.449,-24.145,-24.007,-23.969,6.397,-20.738,0,0,0,0,686,10330,0.001,0.018,82650,40950,0,41700,3410,53498,0.007,0.113,-92.7471116816431,-94.8905109489051
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,102455,18100,5400,125955,2.794,111006,88.1,39292,2.899,24.599,3.693,4.312,4.414,38.869,37.134,37.042,10.433,29.275,0,0,0,0,684,3806,0.001,0.004,22840,14040,0,8800,1403,18164,0.003,0.038,-97.5609756097561,-97.8102189781022
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,179125,46100,9800,235025,5.213,217795,92.7,58891,5.687,-8.456,2.18,2.493,2.54,-18.035,-20.73,-21.135,8.061,-0.116,0,0,0,0,202,17363,0,0.025,48040,25740,0,22300,1029,54652,0.002,0.115,-92.6187419768934,-98.5401459854015
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,28145,5400,1400,34945,0.775,27386,78.4,9205,0.715,14.99,2.877,3.399,3.48,8.2,8.107,8.059,8.56,6.072,0,0,0,0,0,687,0,0.001,7280,4680,0,2600,93,3197,0,0.007,-99.5507060333761,-100
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,464415,115600,25400,605415,13.427,472599,78.1,175205,12.341,-6.024,2.584,3.076,3.151,-2.824,-2.171,-2.151,6.971,-13.627,0,0,0,0,3424,54972,0.007,0.011,121320,65520,0,55800,6508,93760,0.014,0.198,-87.2913992297818,-89.7810218978102
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,121235,25700,6600,153535,3.405,123364,80.3,50233,3.221,6.914,3.324,4.059,4.176,24.994,29.096,29.68,8.163,1.148,0,0,0,0,318,5533,0.001,0.01,29950,17550,0,12400,4587,16946,0.01,0.036,-97.6893453145058,-92.7007299270073
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,55725,11200,2900,69825,1.549,60697,86.9,21719,1.585,11.172,3.285,3.928,4.029,23.522,24.918,25.11,9.18,13.747,0,0,0,0,445,3663,0.001,0.006,14760,9360,0,5400,2378,13140,0.005,0.028,-98.2028241335045,-96.3503649635037
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,148410,37900,7900,194210,4.307,127629,65.7,47492,3.333,-7.963,2.139,2.502,2.558,-19.572,-20.429,-20.56,5.748,-28.78,0,0,0,0,1335,5071,0.003,0.012,39360,21060,0,18300,2934,14948,0.006,0.032,-97.9460847240051,-95.6204379562044
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,4320,1500,400,6220,0.138,6273,100.9,1136,0.164,-22.062,1.349,1.717,1.775,-49.267,-45.392,-44.871,7.45,-7.688,0,0,0,0,0,1,0,0.001,700,0,0,700,50,1064,0,0.002,-99.8716302952503,-100
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,3150,1500,400,5050,0.112,4710,93.3,1267,0.123,-39.129,1.455,1.915,1.984,-45.284,-39.113,-38.39,5.409,-32.976,0,0,0,0,0,0,0,0.001,700,0,0,700,5,616,0,0.001,-99.9358151476252,-100
"20","FUERZAS ARMADAS","FFAA",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100
"21","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,3508245,808600,192000,4508845,100,3829465,84.932,1261848,100,0,2.659,3.144,3.221,0,0,0,8.07,0,0,0,0,0,18065,223830,0.038,0.294,886680,496080,0,390600,64787,739114,0.137,1.558,0,0
