"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,140295,0,0,140295,18.859,94879,67.6,0,19.441,5.722,0,0,0,NA,NA,NA,1.121,8.983
"2","ARAGÓN","AR",1329391,1132764,1107658,2.802,2.823,2.827,23715,0,0,23715,3.188,11983,50.5,0,2.455,13.769,0,0,0,NA,NA,NA,0.901,-12.36
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,23720,0,0,23720,3.188,22428,94.6,0,4.596,48.509,0,0,0,NA,NA,NA,2.201,114.04
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,12840,0,0,12840,1.726,4835,37.7,0,0.991,-30.094,0,0,0,NA,NA,NA,0.413,-59.874
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,27660,0,0,27660,3.718,15328,55.4,0,3.141,-18.925,0,0,0,NA,NA,NA,0.704,-31.511
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,11850,0,0,11850,1.593,9527,80.4,0,1.952,29.715,0,0,0,NA,NA,NA,1.634,58.908
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,51390,0,0,51390,6.908,41340,80.4,0,8.471,36.872,0,0,0,NA,NA,NA,1.726,67.829
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,35550,0,0,35550,4.779,23342,65.7,0,4.783,10.875,0,0,0,NA,NA,NA,1.141,10.965
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,120545,0,0,120545,16.204,82785,68.7,0,16.963,-1.178,0,0,0,NA,NA,NA,1.064,3.45
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,61225,0,0,61225,8.23,57223,93.5,0,11.725,-22.781,0,0,0,NA,NA,NA,1.131,10.011
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,21725,0,0,21725,2.92,11346,52.2,0,2.325,30.255,0,0,0,NA,NA,NA,1.066,3.68
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,37555,0,0,37555,5.048,33346,88.8,0,6.833,-11.341,0,0,0,NA,NA,NA,1.234,19.998
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,5915,0,0,5915,0.795,3826,64.7,0,0.784,17.968,0,0,0,NA,NA,NA,1.196,16.278
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,98790,0,0,98790,13.28,35949,36.4,0,7.366,-7.058,0,0,0,NA,NA,NA,0.53,-48.447
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,25685,0,0,25685,3.453,16191,63,0,3.318,8.403,0,0,0,NA,NA,NA,1.071,4.166
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,11850,0,0,11850,1.593,6557,55.3,0,1.344,14.351,0,0,0,NA,NA,NA,0.992,-3.581
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,31605,0,0,31605,4.248,15393,48.7,0,3.154,-9.222,0,0,0,NA,NA,NA,0.693,-32.6
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,1005,0,0,1005,0.135,758,75.4,0,0.155,-23.676,0,0,0,NA,NA,NA,0.9,-12.475
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,1005,0,0,1005,0.135,1005,100,0,0.206,-26.579,0,0,0,NA,NA,NA,1.154,12.216
"20","FUERZAS ARMADAS","FFAA",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ESPAÑA","ES",47450795,40129822,39180773,100,0.846,0.826,743925,0,0,743925,100,488041,0.656,0,100,0,0,0,0,NA,NA,NA,1.029,0
