"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN","DOSIS_DIARIAS_ENTREGADAS","DOSIS_DIARIAS_ENTREGADAS_PFIZER","DOSIS_DIARIAS_ENTREGADAS_MODERNA","DOSIS_DIARIAS_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_DIARIAS","PORC_PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_100HAB_DIARIAS","DOSIS_7D_ENTREGADAS","DOSIS_7D_ENTREGADAS_PFIZER","DOSIS_7D_ENTREGADAS_MODERNA","DOSIS_7D_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_7D","DOSIS_ADMIN_7D","PORC_PAUTA_COMPLETA_7D","DOSIS_ADMIN_100HAB_7D","DESV_DOSIS_ADMIN_7D","DESV_PORC_PAUTA_COMPLETA_7D"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,899820,343800,111200,1354820,17.631,1135990,83.8,383206,19.395,-1.16,4.527,5.426,5.57,19.04,20.663,20.924,13.421,8.728,157960,79560,37900,40500,20015,22576,0.042,0.085,157960,79560,37900,40500,108146,164299,0.228,0.346,-81.0722100656455,-69.6808510638298
"2","ARAGON","AR",1329391,1132764,1107658,2.802,2.823,2.827,165285,54000,21700,240985,3.136,188111,78.1,62676,3.212,11.923,4.715,5.533,5.658,23.967,23.039,22.853,14.15,14.637,33050,17550,9100,6400,3882,5212,0.008,0.006,33050,17550,9100,6400,11191,29689,0.024,0.063,-96.5536105032823,-96.8085106382979
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,161195,41500,20700,223395,2.907,171655,76.8,63411,2.931,35.406,6.224,7.036,7.16,63.66,56.467,55.451,16.849,36.501,29280,16380,8000,4900,5068,5583,0.011,0.027,29280,16380,8000,4900,17534,30870,0.037,0.065,-96.4442013129103,-95.0797872340426
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,86940,47500,11100,145540,1.894,112889,77.6,31581,1.927,-23.289,2.696,3.202,3.28,-29.12,-28.795,-28.797,9.636,-21.935,20730,10530,4600,5600,259,2281,0.001,0.006,20730,10530,4600,5600,6795,23785,0.014,0.05,-97.2647702407002,-98.1382978723404
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,186000,88400,22900,297300,3.869,223811,75.3,69334,3.821,-15.636,3.186,3.706,3.796,-16.217,-17.596,-17.592,10.286,-16.671,37720,18720,8600,10400,3676,4217,0.008,0.012,37720,18720,8600,10400,12330,36940,0.026,0.078,-95.7330415754923,-96.5425531914894
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,79125,23600,9700,112425,1.463,81573,72.6,28065,1.393,19.141,4.815,5.598,5.721,26.598,24.474,24.203,13.994,13.373,14790,8190,3800,2800,2168,2290,0.005,0.001,14790,8190,3800,2800,6384,11340,0.013,0.024,-98.6870897155361,-98.2712765957447
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,364755,97300,47700,509755,6.634,389307,76.4,129760,6.647,31.439,5.418,6.2,6.323,42.465,37.873,37.281,16.256,31.693,71680,39780,20400,11500,4871,9079,0.01,0.035,71680,39780,20400,11500,23814,64011,0.05,0.135,-92.6148796498906,-93.3510638297872
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,239715,83100,31000,353815,4.604,245270,69.3,82563,4.188,6.831,4.037,4.8,4.921,6.146,6.745,6.853,11.992,-2.845,46770,24570,12400,9800,2449,6185,0.005,0.009,46770,24570,12400,9800,8624,33037,0.018,0.07,-96.1706783369803,-97.6063829787234
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,819620,316100,105400,1241120,16.151,915213,73.7,260858,15.626,-1.498,3.353,3.994,4.094,-11.843,-11.19,-11.115,11.763,-4.703,163440,84240,42000,37200,14840,15958,0.031,0.024,163440,84240,42000,37200,48431,105481,0.102,0.222,-87.855579868709,-86.436170212766
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,450640,205400,57800,713840,9.29,486769,68.2,154732,8.311,-12.839,3.06,3.624,3.714,-19.552,-19.405,-19.365,9.625,-22.024,105190,54990,26100,24100,0,2,0,0.018,105190,54990,26100,24100,30388,49866,0.064,0.105,-94.2560175054705,-91.4893617021277
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,143405,43200,17800,204405,2.66,156742,76.7,57469,2.676,18.646,5.401,6.307,6.455,42.022,40.248,40.154,14.732,19.347,26040,14040,6900,5100,3637,5715,0.008,0.004,26040,14040,6900,5100,10219,21072,0.022,0.044,-97.5929978118162,-97.0744680851064
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,313675,109800,41400,464875,6.05,360302,77.5,102070,6.152,6.247,3.778,4.32,4.402,-0.665,-3.931,-4.423,13.336,8.037,80030,45630,21500,12900,6261,9731,0.013,0.025,80030,45630,21500,12900,24949,71041,0.053,0.15,-91.7943107221007,-92.9521276595745
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,41015,12900,4800,58715,0.764,47744,81.3,14619,0.815,13.367,4.57,5.399,5.527,20.155,20.052,19.999,14.924,20.906,8280,4680,2100,1500,561,863,0.001,0.001,8280,4680,2100,1500,3024,9501,0.006,0.02,-98.9059080962801,-99.2021276595745
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,667995,275500,85200,1028695,13.387,803199,78.1,203552,13.713,-6.306,3.002,3.574,3.661,-21.057,-20.528,-20.511,11.847,-4.024,135330,69030,33900,32400,4410,10908,0.009,0.011,135330,69030,33900,32400,20335,109099,0.043,0.23,-87.417943107221,-94.281914893617
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,162185,61300,19800,243285,3.166,185005,76,58598,3.159,-0.596,3.877,4.735,4.872,1.954,5.3,5.777,12.242,-0.823,27640,14040,6400,7200,617,4355,0.001,0.01,27640,14040,6400,7200,6965,33556,0.015,0.071,-96.1159737417943,-98.0053191489362
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,76785,26800,9700,113285,1.474,87756,77.5,28816,1.498,5.832,4.358,5.211,5.346,14.594,15.889,16.067,13.272,7.525,14020,7020,3800,3200,587,1285,0.001,0.006,14020,7020,3800,3200,4011,13013,0.008,0.027,-98.5229759299781,-98.936170212766
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,238500,90200,30800,359500,4.678,248786,69.2,68401,4.248,-0.034,3.08,3.604,3.685,-19.003,-19.865,-19.998,11.204,-9.231,55820,30420,14800,10600,2776,8624,0.006,0.012,55820,30420,14800,10600,13129,58837,0.028,0.124,-93.2166301969365,-96.2765957446808
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,5490,3500,900,9890,0.129,9278,93.8,2533,0.158,-27.286,3.008,3.829,3.959,-20.901,-14.86,-14.047,11.019,-10.732,700,0,300,400,0,0,0,0.001,700,0,300,400,90,1016,0,0.002,-99.890590809628,-100
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,4320,3500,800,8620,0.112,7685,89.2,2371,0.131,-39.034,2.723,3.583,3.713,-28.403,-20.329,-19.382,8.826,-28.5,600,0,200,400,1,3,0,0.001,600,0,200,400,418,1127,0.001,0.002,-99.890590809628,-99.8670212765958
"20","FUERZAS ARMADAS","FFAA",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100
"21","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,5106465,1927400,650400,7684265,100,5857085,76.222,1804615,100,0,3.803,4.497,4.606,0,0,0,12.343,0,1029070,539370,262800,226900,76078,114867,0.16,0.294,1029070,539370,262800,226900,356777,867580,0.752,1.828,0,0
