"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,739530,208600,73300,1021430,18.292,878194,86,244049,19.639,2.546,2.883,3.456,3.547,1.909,3.298,3.522,10.375,10.097
"2","ARAGÓN","AR",1329391,1132764,1107658,2.802,2.823,2.827,130185,32700,12600,175485,3.143,150631,85.8,49532,3.369,12.158,3.726,4.373,4.472,31.694,30.709,30.51,11.331,20.239
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,128435,25200,12700,166335,2.979,128729,77.4,43690,2.879,38.743,4.288,4.848,4.933,51.577,44.915,43.974,12.636,34.084
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,65880,28800,6500,101180,1.812,74598,73.7,23934,1.668,-26.611,2.043,2.427,2.485,-27.791,-27.461,-27.463,6.367,-32.43
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,148560,53700,14300,216560,3.878,167802,77.5,54601,3.753,-15.433,2.509,2.918,2.989,-11.308,-12.768,-12.763,7.712,-18.167
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,62745,14300,5900,82945,1.485,66555,80.2,20759,1.488,20.962,3.561,4.14,4.231,25.876,23.764,23.495,11.418,21.162
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,285195,59000,27300,371495,6.653,293772,79.1,97774,6.57,31.819,4.083,4.672,4.764,44.3,39.649,39.05,12.266,30.167
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,190575,50400,18600,259575,4.649,195716,75.4,71960,4.377,7.856,3.518,4.184,4.289,24.361,25.063,25.189,9.569,1.547
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,651140,191900,63400,906440,16.233,734794,81.1,192984,16.433,-1.001,2.48,2.955,3.029,-12.33,-11.681,-11.606,9.444,0.217
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,340660,124700,31700,497060,8.902,394016,79.3,113075,8.812,-16.48,2.236,2.649,2.714,-20.973,-20.829,-20.789,7.791,-17.325
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,115325,26200,10900,152425,2.73,125191,82.1,43176,2.8,21.753,4.058,4.738,4.85,43.43,41.638,41.543,11.766,24.859
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,222415,66700,19900,309015,5.534,255614,82.7,68562,5.716,-2.81,2.538,2.902,2.957,-10.306,-13.255,-13.699,9.461,0.395
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,31655,7800,2700,42155,0.755,33316,79,10329,0.745,12.008,3.229,3.814,3.905,14.119,14.021,13.971,10.414,10.51
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,529935,167200,51300,748435,13.403,598738,80,177916,13.39,-6.192,2.624,3.124,3.2,-7.247,-6.625,-6.605,8.831,-6.288
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,134105,37200,13400,184705,3.308,137200,74.3,51169,3.068,3.855,3.386,4.135,4.254,19.675,23.602,24.162,9.079,-3.661
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,62745,16200,5900,84845,1.519,68249,80.4,23670,1.526,9.077,3.58,4.281,4.391,26.532,27.962,28.159,10.322,9.534
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,177660,54800,16000,248460,4.45,155955,62.8,52452,3.488,-4.924,2.362,2.763,2.826,-16.508,-17.397,-17.533,7.023,-25.47
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,5490,2200,600,8290,0.148,7104,85.7,1577,0.159,-16.124,1.873,2.384,2.465,-33.802,-28.746,-28.067,8.437,-10.471
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,4320,2200,600,7120,0.128,5403,75.9,1276,0.121,-30.702,1.465,1.928,1.998,-48.205,-42.364,-41.679,6.205,-34.156
"20","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,4026555,1169800,387600,5583955,100,4471577,80.079,1342485,100,0,2.829,3.345,3.426,0,0,0,9.424,0
