"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,244620,0,6800,251420,18.678,194101,77.2,15193,17.593,4.707,0.179,0.215,0.221,73.619,75.986,76.367,2.293,-1.376
"2","ARAGÓN","AR",1329391,1132764,1107658,2.802,2.823,2.827,41265,0,1200,42465,3.155,38170,89.9,1731,3.46,12.586,0.13,0.153,0.156,25.949,25.007,24.817,2.871,23.486
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,44195,0,1200,45395,3.372,40011,88.1,5664,3.626,57.072,0.556,0.628,0.64,437.765,414.13,410.792,3.927,68.907
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,22590,0,600,23190,1.723,18105,78.1,1514,1.641,-30.225,0.129,0.154,0.157,25.003,25.574,25.571,1.545,-33.535
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,46185,0,1300,47485,3.528,45482,95.8,1744,4.122,-23.079,0.08,0.093,0.095,-22.474,-23.75,-23.746,2.09,-10.104
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,20625,0,500,21125,1.569,19980,94.6,241,1.811,27.797,0.041,0.048,0.049,-60.008,-60.679,-60.765,3.428,47.417
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,93315,0,2500,95815,7.118,82162,85.8,5296,7.447,41.034,0.221,0.253,0.258,113.899,107.005,106.116,3.431,47.547
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,61875,0,1700,63575,4.723,53880,84.8,1202,4.884,9.58,0.059,0.07,0.072,-43.152,-42.831,-42.774,2.634,13.302
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,211220,0,5800,217020,16.122,168054,77.4,2598,15.232,-1.676,0.033,0.04,0.041,-67.701,-67.462,-67.434,2.16,-7.105
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,109000,0,2900,111900,8.313,101437,90.6,2956,9.194,-22.003,0.058,0.069,0.071,-43.463,-43.36,-43.332,2.006,-13.737
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,39275,0,1000,40275,2.992,32039,79.6,638,2.904,33.451,0.06,0.07,0.072,-41.999,-42.724,-42.762,3.011,29.507
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,66805,0,1800,68605,5.097,62011,90.4,3861,5.62,-10.492,0.143,0.163,0.167,38.228,33.683,32.999,2.295,-1.29
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,11765,0,200,11965,0.889,8684,72.6,267,0.787,31.879,0.083,0.099,0.101,-19.271,-19.34,-19.376,2.714,16.744
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,171915,0,4700,176615,13.12,142765,80.8,1738,12.94,-8.171,0.026,0.031,0.031,-75.204,-75.038,-75.033,2.106,-9.437
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,45185,0,1200,46385,3.446,40757,87.9,1784,3.694,8.191,0.118,0.144,0.148,14.185,17.932,18.466,2.697,15.989
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,20625,0,500,21125,1.569,15754,74.6,767,1.428,12.66,0.116,0.139,0.142,12.206,13.474,13.649,2.383,2.473
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,55980,0,1400,57380,4.263,36864,64.2,1333,3.341,-8.917,0.06,0.07,0.072,-41.933,-42.551,-42.646,1.66,-28.6
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,1980,0,200,2180,0.162,1545,70.9,326,0.14,-8.503,0.387,0.493,0.51,274.495,303.098,306.943,1.835,-21.086
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,1980,0,200,2180,0.162,1500,68.8,203,0.136,-11.984,0.233,0.307,0.318,125.501,150.933,153.915,1.723,-25.913
"20","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,1310400,0,35700,1346100,100,1103301,81.963,49056,100,0,0.103,0.122,0.125,0,0,0,2.325,0
