"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN","DOSIS_DIARIAS_ENTREGADAS","DOSIS_DIARIAS_ENTREGADAS_PFIZER","DOSIS_DIARIAS_ENTREGADAS_MODERNA","DOSIS_DIARIAS_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_DIARIAS","PORC_PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_100HAB_DIARIAS","DOSIS_7D_ENTREGADAS","DOSIS_7D_ENTREGADAS_PFIZER","DOSIS_7D_ENTREGADAS_MODERNA","DOSIS_7D_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_7D","DOSIS_ADMIN_7D","PORC_PAUTA_COMPLETA_7D","DOSIS_ADMIN_100HAB_7D","DESV_DOSIS_ADMIN_7D","DESV_PORC_PAUTA_COMPLETA_7D"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,475110,34500,36300,545910,18.729,457018,83.7,190867,17.841,4.996,2.255,2.703,2.774,-0.01,1.353,1.573,5.399,0.016,0,0,0,0,14136,25376,0.03,0.085,129080,74880,19700,34500,47315,78075,0.1,0.165,-82.8482328482329,-83.2775919732441
"2","ARAGON","AR",1329391,1132764,1107658,2.802,2.823,2.827,81045,5400,6300,92745,3.182,91343,98.5,36979,3.566,13.559,2.782,3.264,3.338,23.346,22.423,22.237,6.871,27.278,0,0,0,0,1320,3046,0.003,0.006,21670,12870,3400,5400,12599,16693,0.027,0.035,-96.3617463617464,-95.4849498327759
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,83975,4200,6300,94475,3.241,80484,85.2,33466,3.142,50.967,3.285,3.713,3.779,45.661,39.259,38.355,7.9,46.338,0,0,0,0,520,2038,0.001,0.027,21640,14040,3400,4200,1999,8700,0.004,0.018,-98.1288981288981,-99.3311036789298
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,42480,4800,3200,50480,1.732,43862,86.9,18653,1.712,-29.855,1.592,1.891,1.937,-29.399,-29.076,-29.077,3.744,-30.648,0,0,0,0,1970,3238,0.004,0.006,13520,7020,1700,4800,5223,8179,0.011,0.017,-98.2328482328482,-98.1605351170569
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,93570,8900,7000,109470,3.756,104706,95.6,43371,4.088,-18.105,1.993,2.318,2.374,-11.616,-13.071,-13.066,4.812,-10.864,0,0,0,0,2592,5390,0.005,0.012,26740,14040,3800,8900,15213,20376,0.032,0.043,-95.5301455301455,-94.6488294314381
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,39345,2400,2900,44645,1.532,42494,95.2,18916,1.659,24.73,3.245,3.773,3.856,43.898,41.483,41.176,7.29,35.039,0,0,0,0,1438,2787,0.003,0.001,9850,5850,1600,2400,6489,8279,0.014,0.017,-98.2328482328482,-97.6588628762542
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,177555,9800,13500,200855,6.891,186398,92.8,78271,7.277,36.536,3.268,3.74,3.814,44.922,40.251,39.648,7.783,44.172,0,0,0,0,2838,7567,0.006,0.035,45180,28080,7300,9800,15343,25378,0.032,0.053,-94.4906444906445,-94.6488294314381
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,120375,8300,9200,137875,4.73,125951,91.4,49378,4.917,9.75,2.414,2.871,2.943,7.057,7.662,7.77,6.158,14.075,0,0,0,0,7688,8280,0.016,0.009,32020,18720,5000,8300,17249,20963,0.036,0.044,-95.4261954261954,-93.9799331103679
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,410120,31800,31400,473320,16.239,402742,85.1,162003,15.722,-0.965,2.082,2.48,2.543,-7.671,-6.986,-6.908,5.176,-4.115,0,0,0,0,9912,26223,0.021,0.024,113250,64350,17100,31800,41261,85520,0.087,0.18,-81.2889812889813,-85.4515050167224
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,207280,20600,15700,243580,8.357,219822,90.2,94255,8.581,-21.591,1.864,2.208,2.262,-17.357,-17.207,-17.166,4.347,-19.485,0,0,0,0,1822,5812,0.004,0.018,60890,31590,8700,20600,11084,28920,0.023,0.061,-93.6590436590437,-96.1538461538462
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,74375,4300,5400,84075,2.884,78038,92.8,31116,3.046,28.656,2.924,3.415,3.495,29.679,28.059,27.973,7.334,35.863,0,0,0,0,615,2435,0.001,0.004,18900,11700,2900,4300,4511,10032,0.01,0.021,-97.8170478170478,-98.3277591973244
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,128815,11000,9800,149615,5.133,134518,89.9,55343,5.251,-9.852,2.048,2.342,2.387,-9.17,-12.156,-12.606,4.979,-7.774,0,0,0,0,156,9785,0,0.025,36190,19890,5300,11000,3919,23522,0.008,0.05,-94.8024948024948,-98.6622073578595
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,19955,1300,1400,22655,0.777,21095,93.1,8449,0.824,15.319,2.641,3.12,3.194,17.11,17.01,16.958,6.594,22.145,0,0,0,0,84,1127,0,0.001,4440,2340,800,1300,888,3292,0.002,0.007,-99.2723492723493,-99.6655518394649
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,333375,27700,25400,386475,13.259,338333,87.5,152696,13.208,-7.2,2.252,2.681,2.746,-0.132,0.539,0.56,4.99,-7.562,0,0,0,0,13143,19189,0.028,0.011,94150,52650,13800,27700,66051,71502,0.139,0.151,-84.3035343035343,-76.7558528428094
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,87305,6200,6600,100105,3.434,90378,90.3,37453,3.528,7.831,2.478,3.027,3.114,9.894,13.5,14.014,5.98,10.779,0,0,0,0,5204,6267,0.011,0.01,23840,14040,3600,6200,13141,14586,0.028,0.031,-96.7775467775468,-95.3177257525084
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,39345,2700,2900,44945,1.542,40295,89.7,15344,1.573,10.695,2.321,2.775,2.847,2.904,4.067,4.227,6.094,12.889,0,0,0,0,808,1099,0.002,0.006,10150,5850,1600,2700,3905,6022,0.008,0.013,-98.6486486486486,-98.6622073578595
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,107460,9100,7900,124460,4.27,97787,78.6,41483,3.817,-8.761,1.868,2.185,2.235,-17.16,-18.042,-18.177,4.404,-18.424,0,0,0,0,5358,7904,0.011,0.012,29780,16380,4300,9100,17481,24808,0.037,0.052,-94.5945945945946,-93.8127090301003
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,4320,400,400,5120,0.176,3522,68.8,964,0.137,-0.758,1.145,1.457,1.507,-49.233,-45.356,-44.835,4.183,-22.519,0,0,0,0,1,825,0,0.001,2940,2340,200,400,0,1304,0,0.003,-99.6881496881497,-100
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,3150,400,400,3950,0.136,2822,71.4,1084,0.11,-26.349,1.245,1.638,1.698,-44.798,-38.573,-37.843,3.241,-39.967,0,0,0,0,1,175,0,0.001,1770,1170,200,400,13,424,0,0.001,-99.8960498960499,-100
"20","FUERZAS ARMADAS","FFAA",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100
"21","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,2528955,193800,192000,2914755,100,2561608,87.884,1070091,100,0,2.255,2.667,2.731,0,0,0,5.398,0,0,0,0,0,69606,138563,0.147,0.294,696000,397800,104400,193800,283684,456575,0.598,0.962,0,0
