"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN","DOSIS_DIARIAS_ENTREGADAS","DOSIS_DIARIAS_ENTREGADAS_PFIZER","DOSIS_DIARIAS_ENTREGADAS_MODERNA","DOSIS_DIARIAS_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_DIARIAS","PORC_PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_100HAB_DIARIAS","DOSIS_7D_ENTREGADAS","DOSIS_7D_ENTREGADAS_PFIZER","DOSIS_7D_ENTREGADAS_MODERNA","DOSIS_7D_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_7D","DOSIS_ADMIN_7D","PORC_PAUTA_COMPLETA_7D","DOSIS_ADMIN_100HAB_7D","DESV_DOSIS_ADMIN_7D","DESV_PORC_PAUTA_COMPLETA_7D"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,400230,0,16600,416830,18.787,378943,90.9,143552,18.002,5.318,1.696,2.033,2.086,2.331,3.726,3.951,4.477,0.916,0,0,0,0,11859,15461,0.025,0.085,85850,76050,9800,0,64912,79151,0.137,0.167,-84.0191387559809,-84.828349944629
"2","ARAGON","AR",1329391,1132764,1107658,2.802,2.823,2.827,68175,0,2900,71075,3.203,74650,105,24380,3.546,14.325,1.834,2.152,2.201,10.657,9.828,9.661,5.615,26.579,0,0,0,0,892,1994,0.002,0.006,14570,12870,1700,0,14016,19358,0.03,0.041,-96.0765550239234,-96.6777408637874
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,69935,0,2900,72835,3.283,71784,98.6,31467,3.41,52.897,3.089,3.492,3.553,86.367,78.176,77.019,7.046,58.829,0,0,0,0,2727,3158,0.006,0.027,13400,11700,1700,0,11992,13672,0.025,0.029,-97.2248803827751,-97.2314507198228
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,35460,0,1500,36960,1.666,35683,96.5,13430,1.695,-32.531,1.146,1.362,1.395,-30.831,-30.514,-30.516,3.046,-31.343,0,0,0,0,3508,4187,0.007,0.006,6750,5850,900,0,8648,10124,0.018,0.021,-97.9904306220096,-98.0066445182724
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,79530,0,3200,82730,3.729,84330,101.9,28158,4.006,-18.695,1.294,1.505,1.541,-21.918,-23.204,-23.199,3.876,-12.639,0,0,0,0,4109,4491,0.009,0.012,17110,15210,1900,0,16657,19855,0.035,0.042,-95.9808612440191,-96.1240310077519
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,33495,0,1300,34795,1.568,34215,98.3,12427,1.625,27.705,2.132,2.479,2.533,28.637,26.478,26.203,5.87,32.313,0,0,0,0,3621,4351,0.008,0.001,6650,5850,800,0,9690,10589,0.02,0.022,-97.8947368421053,-97.7851605758583
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,149475,0,6200,155675,7.016,161020,103.4,62928,7.649,39.02,2.628,3.007,3.066,58.544,53.434,52.775,6.723,51.556,0,0,0,0,6263,10012,0.013,0.035,31780,28080,3700,0,28482,36795,0.06,0.078,-92.5358851674641,-93.3554817275748
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,101655,0,4200,105855,4.771,104988,99.2,32129,4.987,10.694,1.571,1.868,1.915,-5.212,-4.677,-4.581,5.133,15.713,0,0,0,0,1784,2955,0.004,0.009,21220,18720,2500,0,14669,20383,0.031,0.043,-95.8851674641148,-96.5669988925803
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,345770,0,14300,360070,16.228,317222,88.1,120742,15.07,-1.028,1.552,1.849,1.895,-6.363,-5.669,-5.589,4.077,-8.094,0,0,0,0,12865,8527,0.027,0.024,74020,65520,8500,0,60066,60667,0.127,0.128,-87.7511961722488,-85.9357696566999
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,175690,0,7000,182690,8.234,190902,104.5,83171,9.069,-22.744,1.645,1.948,1.996,-0.77,-0.589,-0.539,3.775,-14.911,0,0,0,0,7594,8677,0.016,0.018,36860,32760,4100,0,49776,54793,0.105,0.115,-88.9952153110048,-88.3720930232558
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,62675,0,2500,65175,2.937,68006,104.3,26605,3.231,31.02,2.501,2.92,2.988,50.877,48.992,48.892,6.392,44.077,0,0,0,0,4943,6054,0.01,0.004,13200,11700,1500,0,17959,20664,0.038,0.044,-95.7894736842105,-95.7918050941307
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,108925,0,4500,113425,5.112,110996,97.9,51424,5.273,-10.22,1.903,2.177,2.218,14.843,11.068,10.499,4.108,-7.395,0,0,0,0,13704,14049,0.029,0.025,23760,21060,2700,0,24326,25278,0.051,0.053,-94.9282296650718,-94.3521594684385
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,17615,0,600,18215,0.821,17803,97.7,7561,0.846,21.804,2.363,2.792,2.859,42.607,42.485,42.422,5.565,25.442,0,0,0,0,1040,1181,0.002,0.001,3910,3510,400,0,5071,6013,0.011,0.013,-98.755980861244,-98.781838316722
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,280725,0,11600,292325,13.175,266831,91.3,86645,12.676,-7.788,1.278,1.521,1.558,-22.889,-22.371,-22.355,3.936,-11.285,0,0,0,0,19311,20828,0.041,0.011,59550,52650,6900,0,70808,75888,0.149,0.16,-84.688995215311,-83.499446290144
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,73265,0,3000,76265,3.437,75792,99.4,24312,3.601,7.921,1.609,1.965,2.021,-2.931,0.254,0.708,5.015,13.05,0,0,0,0,3924,3433,0.008,0.01,15840,14040,1800,0,13019,17055,0.027,0.036,-96.555023923445,-97.0099667774086
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,33495,0,1300,34795,1.568,34273,98.5,11439,1.628,12.579,1.73,2.069,2.122,4.389,5.568,5.731,5.183,16.844,0,0,0,0,2423,2827,0.005,0.006,6650,5850,800,0,6158,9157,0.013,0.019,-98.1818181818182,-98.5603543743079
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,91080,0,3600,94680,4.267,72979,77.1,24002,3.467,-8.819,1.081,1.265,1.293,-34.778,-35.473,-35.579,3.287,-25.915,0,0,0,0,2890,4620,0.006,0.012,18580,16380,2200,0,11725,15717,0.025,0.033,-96.8421052631579,-97.2314507198228
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,1980,0,200,2180,0.098,2218,101.7,964,0.105,-44.49,1.145,1.457,1.507,-30.92,-25.644,-24.935,2.634,-40.622,0,0,0,0,43,62,0,0.001,0,0,0,0,276,328,0.001,0.001,-99.9043062200957,-99.8892580287929
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,1980,0,200,2180,0.098,2398,110,1071,0.114,-46.601,1.23,1.618,1.677,-25.786,-17.416,-16.435,2.754,-37.922,0,0,0,0,-2,6,0,0.001,0,0,0,0,265,285,0.001,0.001,-99.9043062200957,-99.8892580287929
"20","FUERZAS ARMADAS","FFAA",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100
"21","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,2131155,0,87600,2218755,100,2105033,94.875,786407,100,0,1.657,1.96,2.007,0,0,0,4.436,0,0,0,0,0,103498,116873,0.218,0.294,449700,397800,51900,0,428515,495772,0.903,1.045,0,0
